ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
601988.SH,2025-07-01,5.62,5.71,5.6,5.65,5.62,0.03,0.5338,2895543.67,1641409.362
601988.SH,2025-07-02,5.66,5.69,5.64,5.65,5.65,0.0,0.0,1881644.94,1065823.346
601988.SH,2025-07-03,5.64,5.67,5.6,5.62,5.65,-0.03,-0.531,2328057.9,1309581.322
601988.SH,2025-07-04,5.61,5.72,5.61,5.7,5.62,0.08,1.4235,2965862.43,1685441.772
601988.SH,2025-07-07,5.7,5.74,5.67,5.73,5.7,0.03,0.5263,1877332.7,1072274.822
601988.SH,2025-07-08,5.72,5.75,5.69,5.71,5.73,-0.02,-0.349,1801058.36,1029121.014
601988.SH,2025-07-09,5.72,5.82,5.7,5.78,5.71,0.07,1.2259,3492826.52,2018853.3
601988.SH,2025-07-10,5.79,5.88,5.78,5.82,5.78,0.04,0.692,2801539.69,1636781.875
601988.SH,2025-07-11,5.83,5.9,5.69,5.69,5.82,-0.13,-2.2337,5043114.75,2922940.53
601988.SH,2025-07-14,5.7,5.84,5.7,5.75,5.69,0.06,1.0545,3464429.59,2001520.131
601988.SH,2025-07-15,5.77,5.79,5.7,5.7,5.75,-0.05,-0.8696,2108167.61,1210607.33
601988.SH,2025-07-16,5.7,5.73,5.66,5.71,5.7,0.01,0.1754,2215049.72,1260792.019
601988.SH,2025-07-17,5.71,5.73,5.66,5.67,5.71,-0.04,-0.7005,1761573.07,1001183.589
601988.SH,2025-07-18,5.67,5.72,5.64,5.69,5.67,0.02,0.3527,1827813.0,1040368.068
601988.SH,2025-07-21,5.69,5.71,5.63,5.65,5.69,-0.04,-0.703,2451637.31,1386029.904
601988.SH,2025-07-22,5.64,5.65,5.55,5.58,5.65,-0.07,-1.2389,3913312.18,2182999.163
601988.SH,2025-07-23,5.56,5.68,5.56,5.63,5.58,0.05,0.8961,3820410.39,2153377.537
601988.SH,2025-07-24,5.64,5.66,5.56,5.56,5.63,-0.07,-1.2433,3468702.97,1941424.781
601988.SH,2025-07-25,5.56,5.59,5.52,5.53,5.56,-0.03,-0.5396,2510283.3,1393596.969
601988.SH,2025-07-28,5.54,5.57,5.52,5.53,5.53,0.0,0.0,2125063.9,1177941.753
601988.SH,2025-07-29,5.55,5.57,5.49,5.49,5.53,-0.04,-0.7233,2456275.77,1355992.558
601988.SH,2025-07-30,5.49,5.57,5.47,5.53,5.49,0.04,0.7286,3043038.59,1682104.358
601988.SH,2025-07-31,5.53,5.57,5.45,5.55,5.53,0.02,0.3617,3722105.78,2050079.188
601988.SH,2025-08-01,5.54,5.57,5.5,5.55,5.55,0.0,0.0,2815246.6,1559597.273
601988.SH,2025-08-04,5.54,5.63,5.53,5.58,5.55,0.03,0.5405,3282292.75,1834910.401
601988.SH,2025-08-05,5.57,5.66,5.55,5.65,5.58,0.07,1.2545,3208842.33,1802682.589
601988.SH,2025-08-06,5.65,5.68,5.62,5.66,5.65,0.01,0.177,2422622.23,1370569.226
601988.SH,2025-08-07,5.66,5.72,5.62,5.72,5.66,0.06,1.0601,3031452.72,1725625.625
601988.SH,2025-08-08,5.71,5.74,5.67,5.67,5.72,-0.05,-0.8741,2323624.71,1323692.634
601988.SH,2025-08-11,5.67,5.68,5.59,5.62,5.67,-0.05,-0.8818,2586005.91,1453056.416
601988.SH,2025-08-12,5.62,5.68,5.61,5.66,5.62,0.04,0.7117,2464794.82,1393801.471
601988.SH,2025-08-13,5.66,5.69,5.58,5.58,5.66,-0.08,-1.4134,3468750.28,1948540.058
601988.SH,2025-08-14,5.58,5.62,5.56,5.57,5.58,-0.01,-0.1792,2292180.33,1281571.424
601988.SH,2025-08-15,5.58,5.58,5.42,5.45,5.57,-0.12,-2.1544,6409229.34,3499329.743
601988.SH,2025-08-18,5.44,5.46,5.4,5.45,5.45,0.0,0.0,3506009.92,1907307.304
601988.SH,2025-08-19,5.45,5.59,5.44,5.56,5.45,0.11,2.0183,4400871.13,2430443.192
601988.SH,2025-08-20,5.57,5.73,5.56,5.67,5.56,0.11,1.9784,5845799.83,3309866.723
601988.SH,2025-08-21,5.68,5.73,5.62,5.71,5.67,0.04,0.7055,3973311.41,2263421.584
601988.SH,2025-08-22,5.71,5.72,5.64,5.7,5.71,-0.01,-0.1751,3293471.95,1871201.844
601988.SH,2025-08-25,5.69,5.7,5.64,5.68,5.7,-0.02,-0.3509,3163097.91,1793266.507
601988.SH,2025-08-26,5.67,5.7,5.65,5.66,5.68,-0.02,-0.3521,2217983.55,1258560.252
601988.SH,2025-08-27,5.65,5.66,5.55,5.55,5.66,-0.11,-1.9435,2861512.87,1601354.358
601988.SH,2025-08-28,5.55,5.58,5.5,5.53,5.55,-0.02,-0.3604,2985043.12,1651514.188
601988.SH,2025-08-29,5.54,5.63,5.51,5.52,5.53,-0.01,-0.1808,3397582.94,1891118.032
601988.SH,2025-09-01,5.53,5.58,5.49,5.52,5.52,0.0,0.0,3406030.08,1883895.13
601988.SH,2025-09-02,5.52,5.63,5.5,5.63,5.52,0.11,1.9928,4500408.23,2514316.87
601988.SH,2025-09-03,5.63,5.63,5.52,5.55,5.63,-0.08,-1.421,3326813.61,1852988.833
601988.SH,2025-09-04,5.52,5.65,5.41,5.62,5.55,0.07,1.2613,6529944.05,3605212.942
601988.SH,2025-09-05,5.59,5.59,5.5,5.52,5.62,-0.1,-1.7794,3670349.2,2029841.862
601988.SH,2025-09-08,5.5,5.53,5.46,5.47,5.52,-0.05,-0.9058,3264583.8,1792239.406
601988.SH,2025-09-09,5.47,5.51,5.46,5.48,5.47,0.01,0.1828,2004368.5,1098727.195
601988.SH,2025-09-10,5.48,5.5,5.45,5.49,5.48,0.01,0.1825,2226585.47,1219577.875
601988.SH,2025-09-11,5.48,5.54,5.44,5.5,5.49,0.01,0.1821,4108413.15,2248226.546
601988.SH,2025-09-12,5.49,5.53,5.48,5.48,5.5,-0.02,-0.3636,2827502.54,1555441.039
